ID;X_GK4;Y_GK4
1;4592967,9;5823407,798
2;4592940,76;5823360,276
32;4593187,25;5822885,276
33;4593158,73;5822857,998
34;4593207,041;5822770,713
35;4593260,024;5822685,904
36;4593323,196;5822683,86
37;4593349,552;5822750,608
42;4593285,174;5822864,239
43;4593212,66;5822868,83
53;4593296,815;5822897,014
57;4593252,361;5822920,837
59;4593311,622;5822873,193
62;4593371,243;5822539,782
63;4593371,769;5822537,128
64;4593343,741;5822326,72
65;4593340,741;5822188,194
67;4593412,352;5822132,81
68;4593483,199;5822062,799
69;4593538,211;5821979,364
71;4593357,356;5822799,671
78;4593418,065;5822272,501
79;4593425,625;5822567,301
80;4593392,792;5822428,981
81;4593377,036;5822527,081
82;4593423,455;5822694,279
83;4593476,265;5822609,37
84;4593437,816;5822882,222
85;4593410,645;5822220,972
86;4593413,307;5822192,646
88;4593413,682;5822448,612
89;4593420,656;5822357,259
95;4593436,696;5822468,418
96;4593452,682;5822486,188
98;4593456,949;5822147,019
99;4593499,53;5823599,662
100;4593488,852;5822841,622
101;4593507,375;5822333,464
103;4593486,14;5822544,854
104;4593526,929;5822044,945
105;4593528,652;5822056,611
106;4593575,779;5823485,921
107;4593483,326;5823447,808
108;4593504,506;5823423,86
109;4593519,963;5822217,878
110;4593578,059;5822136,486
111;4593505,845;5822606,754
114;4593565,281;5822632,627
115;4593529,287;5822774,781
116;4593527,134;5822496,529
118;4593566,762;5822375,602
119;4593523,061;5822336,15
122;4593546,247;5823361,802
125;4593533,791;5822423,524
126;4593601,053;5822568,396
127;4593574,97;5822483,754
128;4593558,396;5821995,911
130;4593580,518;5822256,076
131;4593601,025;5822261,944
133;4593583,392;5823315,548
135;4593588,987;5821903,735
138;4593580,451;5822462,492
148;4593601,788;5821300,894
156;4593663,917;5821427,394
157;4593763,14;5821439,836
158;4593591,69;5821355,866
159;4593584,206;5822323,691
160;4593613,502;5820632,434
161;4593712,716;5820644,943
162;4593587,689;5820694,054
164;4593583,667;5820446,849
169;4593596,279;5822465,031
170;4593622,106;5822429,422
171;4593671,558;5821925,481
172;4593602,281;5821889,621
174;4593601,656;5822345,736
179;4593700,127;5823047,44
182;4593647,19;5820794,463
188;4593633,7;5822181,958
190;4593624,97;5820368,419
191;4593619,157;5821068,85
192;4593624,837;5821168,684
193;4593643,307;5823513,765
197;4593699,729;5821063,066
198;4593627,493;5822462,661
199;4593639,708;5822431,881
200;4593630,212;5822063,572
203;4593750,981;5820556,246
204;4593654,275;5823301,018
205;4593763,502;5820495,483
206;4593702,23;5820436,284
207;4593625,127;5820476,277
208;4593627,909;5822584,07
210;4593631,188;5822555,865
211;4593630,422;5822315,394
212;4593655,35;5822221,445
213;4593790,745;5820379,458
214;4593691,284;5820369,093
215;4593637,373;5820352,315
216;4593712,637;5823296,263
217;4593797,11;5823349,58
219;4593644,968;5823322,258
220;4593649,166;5822037,782
221;4593662,091;5822622,303
222;4593661,098;5822123,127
223;4593662,87;5823565,661
225;4593659,365;5822026,718
228;4593744,324;5821294,224
229;4593657,362;5821296,883
230;4593714,091;5820256,135
231;4593675,468;5823353,771
232;4593665,031;5821235,359
234;4593699,35;5821199,178
236;4593669,354;5822577,257
238;4593682,11;5821851,474
240;4593684,336;5822443,428
241;4593784,717;5823387,432
242;4593735,259;5823474,345
247;4593696,702;5820676,021
248;4593707,122;5822346,202
249;4593707,07;5822260,212
250;4593705,816;5822587,793
251;4593711,394;5821953,457
252;4593789,873;5822592,15
254;4593714,144;5822953,447
255;4593729,894;5822922,633
256;4593712,974;5822212,656
257;4593746,156;5822670,792
258;4593720,68;5822150,542
260;4593741,081;5821946,23
262;4593778,326;5820810,434
263;4593746,837;5822117,233
264;4593838,411;5822153,836
267;4593733,08;5822050,634
268;4593740,964;5821987,118
269;4593745,137;5821953,515
270;4594012,446;5820248,025
271;4593913,199;5820235,781
272;4593813,864;5820224,286
273;4593789,683;5821960,044
274;4593751,923;5821893,455
275;4593804,018;5821280,77
277;4593801,569;5822690,872
279;4593757,314;5821075,774
280;4593789,411;5820981,065
281;4594008,93;5821904,376
282;4593911,324;5821882,632
283;4593813,73;5821860,821
284;4593762,417;5821806,321
285;4593768,787;5821762,415
286;4593799,818;5823042,097
287;4593772,233;5822040,247
291;4593876,895;5822089,463
292;4593780,776;5822061,875
293;4593774,747;5821717,98
294;4593823,594;5822667,934
295;4593774,912;5820652,781
296;4593768,416;5820747,031
299;4593810,786;5820657,31
300;4593852,057;5821634,747
303;4593793,682;5822611,754
304;4593876,872;5821554,677
305;4593804,503;5821483,696
306;4593825,878;5823369,673
307;4593809,911;5820949,451
308;4593824,771;5820878,779
309;4593813,099;5821096,076
310;4593806,887;5821070,663
311;4593852,491;5821464,876
312;4593815,097;5821404,49
313;4593828,589;5821305,405
314;4593865,558;5821037,152
315;4593820,201;5821030,576
316;4593822,883;5822842,983
318;4593881,661;5823360,819
319;4593829,955;5821000,457
320;4593876,167;5822602,117
321;4593837,401;5822565,95
322;4593958,536;5821302,69
323;4593859,534;5821288,639
324;4593925,29;5821998,586
325;4593972,582;5821983,787
326;4593907,587;5821938,967
327;4593839,298;5821961,013
328;4593860,782;5820966,911
329;4593885,878;5821259,519
330;4593985,145;5821271,605
331;4593856,735;5821206,451
332;4593855,866;5820816,944
333;4593867,126;5820896,531
335;4593867,967;5820852,379
336;4593873,527;5822951,258
338;4593928,356;5820778,904
339;4593856,451;5820717,559
340;4593846,288;5820356,424
343;4593940,524;5822825,526
344;4593891,549;5822814,859
345;4593858,963;5820510,443
347;4593877,133;5821635,743
348;4593873,621;5821670,12
350;4593896,27;5822920,39
352;4593960,717;5821131,972
353;4593894,246;5821097,626
354;4593926,583;5821002,998
355;4593915,699;5822492,287
357;4593907,474;5821702,616
358;4593994,094;5822978,938
359;4593910,777;5822923,837
360;4593951,702;5820535,855
361;4594050,821;5820549,103
362;4593966,86;5820691,809
363;4593915,82;5821756,713
364;4593908,146;5821671,036
365;4593914,23;5820977,203
366;4593946,423;5820882,527
371;4593919,495;5821566,504
378;4593926,743;5822884,79
379;4593968,679;5822471,923
380;4593932,957;5820984,348
381;4593965,303;5820889,724
382;4593932,69;5821718,343
383;4594001,757;5821484,133
388;4593940,605;5821776,372
389;4593954,525;5822847,443
390;4593960,679;5821716,608
391;4594006,623;5822860,341
392;4594096,934;5822903,28
393;4594011,776;5822773,288
394;4593940,532;5820456,242
395;4593952,491;5820356,962
396;4593978,898;5822013,807
397;4593950,217;5820444,713
398;4593961,429;5820345,343
399;4594024,799;5820286,472
400;4594003,475;5821188,411
401;4593979,852;5821008,331
402;4593969,712;5821044,086
403;4593989,151;5820758,803
404;4594039,612;5820305,706
405;4593994,549;5820390,053
406;4594082,116;5821734,536
407;4593994,372;5821686,714
408;4594080,156;5820521,254
411;4594007,251;5821246,309
412;4594042,62;5820817,794
413;4594094,105;5820760,546
414;4594024,807;5820717,642
416;4594017,678;5821139,349
419;4594078,138;5821751,332
