tourDriver_Id;carrierID;numberOfCarrierDrivers;vehicleType;startLinkID;startLocation;endLinkID;endLocation;startTime;endTime;totalTourDemand;totalTourDistance;totalTourDuration;totalStopDuration;
Dr0_0;cep0_carrier;4;cepVehicleType0;21887;x=4581188,25:y=5809042,5;21887;x=4581188,25:y=5809042,5;28800,0;39358,0;36;53900,877903532564;6778,0;3780,0;
Dr28_0;cep28_carrier;1;cepVehicleType0;15911;x=4611757,75:y=5821071,75;15911;x=4611757,75:y=5821071,75;28800,0;32550,0;8;19530,452976317327;2850,0;900,0;
Dr27_0;cep27_carrier;1;cepVehicleType0;5974;x=4607023,0:y=5812267,5;5974;x=4607023,0:y=5812267,5;28800,0;36795,0;16;40643,88406881702;6075,0;1920,0;
Dr3_0;cep3_carrier;1;cepVehicleType0;8398;x=4588888,5:y=5816978,0;8398;x=4588888,5:y=5816978,0;28800,0;31387,0;7;11664,750996710232;1747,0;840,0;
Dr0_3;cep0_carrier;4;cepVehicleType0;21887;x=4581188,25:y=5809042,5;21887;x=4581188,25:y=5809042,5;28800,0;40598,0;42;56114,61702081318;7418,0;4380,0;
Dr26_0;cep26_carrier;1;cepVehicleType0;6162;x=4604966,25:y=5821207,0;6162;x=4604966,25:y=5821207,0;28800,0;33329,0;7;25028,640704776484;3749,0;780,0;
Dr25_0;cep25_carrier;1;cepVehicleType0;6154;x=4603804,75:y=5823804,0;6154;x=4603804,75:y=5823804,0;28800,0;30932,0;5;10220,313759763416;1532,0;600,0;
Dr0_1;cep0_carrier;4;cepVehicleType0;21887;x=4581188,25:y=5809042,5;21887;x=4581188,25:y=5809042,5;28800,0;45513,0;83;53921,93202904563;7593,0;9120,0;
Dr1_0;cep1_carrier;2;cepVehicleType0;1564;x=4586121,75:y=5822785,0;1564;x=4586121,75:y=5822785,0;28800,0;42250,0;50;54555,852952037574;8170,0;5280,0;
Dr24_0;cep24_carrier;1;cepVehicleType0;5711;x=4602766,5:y=5825316,75;5711;x=4602766,5:y=5825316,75;28800,0;31198,0;5;12007,633608651104;1798,0;600,0;
Dr1_1;cep1_carrier;2;cepVehicleType0;1564;x=4586121,75:y=5822785,0;1564;x=4586121,75:y=5822785,0;28800,0;34380,0;18;24038,69921402957;3600,0;1980,0;
Dr0_2;cep0_carrier;4;cepVehicleType0;21887;x=4581188,25:y=5809042,5;21887;x=4581188,25:y=5809042,5;28800,0;38726,0;26;52048,029369985954;7106,0;2820,0;
Dr23_0;cep23_carrier;1;cepVehicleType0;5535;x=4602671,5:y=5824395,5;5535;x=4602671,5:y=5824395,5;28800,0;29823,0;2;5229,706263914202;783,0;240,0;
Dr2_0;cep2_carrier;1;cepVehicleType0;1086;x=4587534,5:y=5816893,5;1086;x=4587534,5:y=5816893,5;28800,0;30680,0;3;10144,653006404262;1520,0;360,0;
Dr8_0;cep8_carrier;1;cepVehicleType0;1943;x=4589631,0:y=5823784,75;1943;x=4589631,0:y=5823784,75;28800,0;30595,0;6;7593,7366019580195;1135,0;660,0;
Dr6_0;cep6_carrier;1;cepVehicleType0;2101;x=4588978,75:y=5827918,75;2101;x=4588978,75:y=5827918,75;28800,0;33199,0;6;24543,578736841042;3679,0;720,0;
Dr9_0;cep9_carrier;1;cepVehicleType0;1385;x=4589969,0:y=5818279,0;1385;x=4589969,0:y=5818279,0;28800,0;32681,0;13;15915,402754582408;2381,0;1500,0;
Dr11_0;cep11_carrier;1;cepVehicleType0;1910;x=4589830,0:y=5822488,0;1910;x=4589830,0:y=5822488,0;28800,0;31928,0;7;15282,63984734344;2288,0;840,0;
Dr10_0;cep10_carrier;1;cepVehicleType0;2126;x=4589404,5:y=5829052,0;2126;x=4589404,5:y=5829052,0;28800,0;31459,0;3;15336,047427512418;2299,0;360,0;
Dr30_0;cep30_carrier;1;cepVehicleType0;16165;x=4621081,0:y=5818510,5;16165;x=4621081,0:y=5818510,5;28800,0;31548,0;1;26181,0;2628,0;120,0;
Dr19_0;cep19_carrier;1;cepVehicleType0;5323;x=4598544,5:y=5820962,5;5323;x=4598544,5:y=5820962,5;28800,0;36020,0;22;31409,9722461108;4700,0;2520,0;
Dr18_0;cep18_carrier;1;cepVehicleType0;2851;x=4597104,75:y=5814199,5;2851;x=4597104,75:y=5814199,5;28800,0;30357,0;4;7195,6225908286;1077,0;480,0;
Dr17_0;cep17_carrier;1;cepVehicleType0;2545;x=4597196,0:y=5810234,75;2545;x=4597196,0:y=5810234,75;28800,0;32749,0;12;17557,018594908583;2629,0;1320,0;
Dr16_0;cep16_carrier;1;cepVehicleType0;4504;x=4595822,5:y=5827099,25;4504;x=4595822,5:y=5827099,25;28800,0;34984,0;18;27272,295276548546;4084,0;2100,0;
Dr15_0;cep15_carrier;1;cepVehicleType0;2777;x=4595236,5:y=5814450,5;2777;x=4595236,5:y=5814450,5;28800,0;29855,0;2;5441,118087613523;815,0;240,0;
Dr14_0;cep14_carrier;1;cepVehicleType0;2673;x=4593275,0:y=5813307,5;2673;x=4593275,0:y=5813307,5;28800,0;32815,0;11;18013,741083993344;2695,0;1320,0;
Dr13_0;cep13_carrier;1;cepVehicleType0;3057;x=4593219,5:y=5815393,75;3057;x=4593219,5:y=5815393,75;28800,0;31596,0;5;14648,246500678646;2196,0;600,0;
Dr12_0;cep12_carrier;1;cepVehicleType0;4313;x=4591092,75:y=5828807,0;4313;x=4591092,75:y=5828807,0;28800,0;32431,0;8;17838,615337897016;2671,0;960,0;
Dr22_0;cep22_carrier;1;cepVehicleType0;5624;x=4599357,0:y=5826722,75;5624;x=4599357,0:y=5826722,75;28800,0;30735,0;4;9715,752678479768;1455,0;480,0;
Dr21_0;cep21_carrier;1;cepVehicleType0;5079;x=4599139,5:y=5816042,75;5079;x=4599139,5:y=5816042,75;28800,0;32069,0;12;12233,817840224794;1829,0;1440,0;
Dr20_0;cep20_carrier;1;cepVehicleType0;4867;x=4598704,0:y=5814518,0;4867;x=4598704,0:y=5814518,0;28800,0;29469,0;1;3668,0182624455892;549,0;120,0;
