carrierID;carrierFleetSize;vehicleType;vehicle_Id;startLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep17_carrier;1;cepVehicleType0;17_v0;2545;x=4597196,0:y=5810234,75;4765;x=4597974,0:y=5810165,5;10800;10979;1198;179;
cep17_carrier;1;cepVehicleType0;17_v0;4765;x=4597974,0:y=5810165,5;4839;x=4599101,0:y=5811021,75;11099;11412;2090,660166;313;
cep17_carrier;1;cepVehicleType0;17_v0;4839;x=4599101,0:y=5811021,75;4895;x=4600905,0:y=5810781,5;11532;11888;2380;356;
cep17_carrier;1;cepVehicleType0;17_v0;4895;x=4600905,0:y=5810781,5;2833;x=4597530,25:y=5811103,75;12008;12619;4073,422402;611;
cep17_carrier;1;cepVehicleType0;17_v0;2833;x=4597530,25:y=5811103,75;2762;x=4595374,5:y=5811183,0;12799;13196;2647;397;
cep17_carrier;1;cepVehicleType0;17_v0;2762;x=4595374,5:y=5811183,0;2544;x=4596649,75:y=5810097,0;13316;13642;2174,837672;326;
cep17_carrier;1;cepVehicleType0;17_v0;2544;x=4596649,75:y=5810097,0;2545;x=4597196,0:y=5810234,75;13762;13810;325;48;
cep9_carrier;1;cepVehicleType0;9_v0;1385;x=4589969,0:y=5818279,0;1386;x=4589969,0:y=5818279,0;10800;10800;0;0;
cep9_carrier;1;cepVehicleType0;9_v0;1386;x=4589969,0:y=5818279,0;1267;x=4588789,25:y=5819401,75;10920;11153;1556,058917;233;
cep9_carrier;1;cepVehicleType0;9_v0;1267;x=4588789,25:y=5819401,75;1639;x=4588044,0:y=5819942,0;11273;11436;1091,363846;163;
cep9_carrier;1;cepVehicleType0;9_v0;1639;x=4588044,0:y=5819942,0;28615;x=4588398,5:y=5819782,75;11556;11679;821,5625542;123;
cep9_carrier;1;cepVehicleType0;9_v0;28615;x=4588398,5:y=5819782,75;1690;x=4588678,0:y=5820089,5;11799;11865;441,0022727;66;
cep9_carrier;1;cepVehicleType0;9_v0;1690;x=4588678,0:y=5820089,5;1884;x=4588916,0:y=5820082,0;11985;12012;183;27;
cep9_carrier;1;cepVehicleType0;9_v0;1884;x=4588916,0:y=5820082,0;1241;x=4589423,25:y=5818641,5;12192;12474;1884,64844;282;
cep9_carrier;1;cepVehicleType0;9_v0;1241;x=4589423,25:y=5818641,5;2933;x=4591036,25:y=5818767,75;12594;12851;1713,502373;257;
cep9_carrier;1;cepVehicleType0;9_v0;2933;x=4591036,25:y=5818767,75;28496;x=4591912,0:y=5819367,5;12971;13166;1303,501851;195;
cep9_carrier;1;cepVehicleType0;9_v0;28496;x=4591912,0:y=5819367,5;28489;x=4592412,25:y=5819879,0;13286;13476;1273,221334;190;
