carrierID;carrierFleetSize;vehicleType;vehicle_IdstartLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep17_carrier;1;cepVehicleType0;17_v0;2545;x=4597196,0:y=5810234,75;4765;x=4597974,0:y=5810165,5;10800,0;10979,0;1198,0;179,0;
cep17_carrier;1;cepVehicleType0;17_v0;4765;x=4597974,0:y=5810165,5;4839;x=4599101,0:y=5811021,75;11099,0;11412,0;2090,6601657123547;313,0;
cep17_carrier;1;cepVehicleType0;17_v0;4839;x=4599101,0:y=5811021,75;4895;x=4600905,0:y=5810781,5;11532,0;11888,0;2380,0;356,0;
cep17_carrier;1;cepVehicleType0;17_v0;4895;x=4600905,0:y=5810781,5;2833;x=4597530,25:y=5811103,75;12008,0;12619,0;4073,4224024826226;611,0;
cep17_carrier;1;cepVehicleType0;17_v0;2833;x=4597530,25:y=5811103,75;2762;x=4595374,5:y=5811183,0;12799,0;13196,0;2647,0;397,0;
cep17_carrier;1;cepVehicleType0;17_v0;2762;x=4595374,5:y=5811183,0;2544;x=4596649,75:y=5810097,0;13316,0;13642,0;2174,8376716243674;326,0;
cep17_carrier;1;cepVehicleType0;17_v0;2544;x=4596649,75:y=5810097,0;2545;x=4597196,0:y=5810234,75;13762,0;13810,0;325,0;48,0;
cep9_carrier;1;cepVehicleType0;9_v0;1385;x=4589969,0:y=5818279,0;1386;x=4589969,0:y=5818279,0;10800,0;10800,0;0,0;0,0;
cep9_carrier;1;cepVehicleType0;9_v0;1386;x=4589969,0:y=5818279,0;1267;x=4588789,25:y=5819401,75;10920,0;11153,0;1556,0589167151863;233,0;
cep9_carrier;1;cepVehicleType0;9_v0;1267;x=4588789,25:y=5819401,75;1639;x=4588044,0:y=5819942,0;11273,0;11436,0;1091,3638461813766;163,0;
cep9_carrier;1;cepVehicleType0;9_v0;1639;x=4588044,0:y=5819942,0;28615;x=4588398,5:y=5819782,75;11556,0;11679,0;821,5625541778094;123,0;
cep9_carrier;1;cepVehicleType0;9_v0;28615;x=4588398,5:y=5819782,75;1690;x=4588678,0:y=5820089,5;11799,0;11865,0;441,00227271553354;66,0;
cep9_carrier;1;cepVehicleType0;9_v0;1690;x=4588678,0:y=5820089,5;1884;x=4588916,0:y=5820082,0;11985,0;12012,0;183,0;27,0;
cep9_carrier;1;cepVehicleType0;9_v0;1884;x=4588916,0:y=5820082,0;1241;x=4589423,25:y=5818641,5;12192,0;12474,0;1884,6484401079283;282,0;
cep9_carrier;1;cepVehicleType0;9_v0;1241;x=4589423,25:y=5818641,5;2933;x=4591036,25:y=5818767,75;12594,0;12851,0;1713,502373383133;257,0;
cep9_carrier;1;cepVehicleType0;9_v0;2933;x=4591036,25:y=5818767,75;28496;x=4591912,0:y=5819367,5;12971,0;13166,0;1303,501850573136;195,0;
cep9_carrier;1;cepVehicleType0;9_v0;28496;x=4591912,0:y=5819367,5;28489;x=4592412,25:y=5819879,0;13286,0;13476,0;1273,221334450579;190,0;
cep9_carrier;1;cepVehicleType0;9_v0;28489;x=4592412,25:y=5819879,0;1837;x=4590134,0:y=5820209,75;13596,0;14000,0;2697,2538259733014;404,0;
cep9_carrier;1;cepVehicleType0;9_v0;1837;x=4590134,0:y=5820209,75;1385;x=4589969,0:y=5818279,0;14120,0;14378,0;1726,5249736316287;258,0;
cep8_carrier;1;cepVehicleType0;8_v0;1943;x=4589631,0:y=5823784,75;3635;x=4591427,25:y=5824671,5;10800,0;11067,0;1782,3655697751055;267,0;
cep8_carrier;1;cepVehicleType0;8_v0;3635;x=4591427,25:y=5824671,5;3631;x=4591913,5:y=5824261,5;11187,0;11336,0;996,1997689688067;149,0;
cep8_carrier;1;cepVehicleType0;8_v0;3631;x=4591913,5:y=5824261,5;1943;x=4589631,0:y=5823784,75;11456,0;11985,0;3529,2930497204106;529,0;
cep30_carrier;1;cepVehicleType0;30_v0;16165;x=4621081,0:y=5818510,5;6531;x=4617368,0:y=5812241,5;10800,0;12243,0;18272,0;1443,0;
cep30_carrier;1;cepVehicleType0;30_v0;6531;x=4617368,0:y=5812241,5;16165;x=4621081,0:y=5818510,5;12363,0;13549,0;7909,0;1186,0;
cep16_carrier;1;cepVehicleType0;16_v0;4504;x=4595822,5:y=5827099,25;4554;x=4596448,75:y=5827286,75;10800,0;10941,0;946,1766012715768;141,0;
cep16_carrier;1;cepVehicleType0;16_v0;4554;x=4596448,75:y=5827286,75;28081;x=4596465,0:y=5831374,5;11061,0;11878,0;7821,719257926425;817,0;
cep16_carrier;1;cepVehicleType0;16_v0;28081;x=4596465,0:y=5831374,5;4426;x=4593558,25:y=5826705,0;11998,0;13069,0;7144,558686590296;1071,0;
cep16_carrier;1;cepVehicleType0;16_v0;4426;x=4593558,25:y=5826705,0;4411;x=4594051,0:y=5825816,25;13189,0;13401,0;1416,0;212,0;
cep16_carrier;1;cepVehicleType0;16_v0;4411;x=4594051,0:y=5825816,25;4455;x=4594235,0:y=5825628,25;13521,0;13572,0;342,0;51,0;
cep16_carrier;1;cepVehicleType0;16_v0;4455;x=4594235,0:y=5825628,25;6950;x=4594612,75:y=5824501,5;13692,0;14044,0;2352,3057635537803;352,0;
cep16_carrier;1;cepVehicleType0;16_v0;6950;x=4594612,75:y=5824501,5;28598;x=4595240,75:y=5823910,25;14164,0;14331,0;1115,0;167,0;
cep16_carrier;1;cepVehicleType0;16_v0;28598;x=4595240,75:y=5823910,25;4537;x=4596804,5:y=5825340,0;14451,0;14767,0;2108,8832760749683;316,0;
cep16_carrier;1;cepVehicleType0;16_v0;4537;x=4596804,5:y=5825340,0;28696;x=4595846,75:y=5825475,25;14887,0;15077,0;1267,7826116833703;190,0;
